U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC
825,68542,11,5920.28,5978,0,0.12
826,68544,17,5560.8,5522.5,0,0.4
827,68545,17,5548.16,5548.16,0,1
828,68546,17,5554.6,5554.6,0,1
829,68547,17,5562.48,5562.48,0,1
830,68548,17,5560.4,5560.4,0,1
831,68549,17,5640.84,5576.63,0,0.32
832,68744,35,5061.72,5066.63,0,0.32
833,68802,77,5725.48,5718.45,0,0.8
834,68803,77,5692,5692,0,1
835,68804,77,5843.2,5742,0,0.28
836,68807,17,6515.84,6418.57,0,0.28
837,68808,17,6312.36,6304.39,0,0.72
838,68809,17,6078.4,6027.14,0,0.56
839,68810,17,6012.72,5968.17,0,0.24
840,68811,17,5943.92,5937.64,0,0.88
841,68812,17,5985.92,5985.92,0,1
842,68813,17,5895.2,5967,0,0.12
843,68815,17,5577.44,5577.21,0,0.76
844,68816,17,5563.96,5563.96,0,1
845,68817,17,5564.6,5564.6,0,1
846,68818,17,5568,5568,0,1
847,68819,17,5570.36,5570.36,0,1
848,68820,17,5652.32,5585.6,0,0.4
849,68823,17,6380.92,6240.5,0,0.08
850,68824,17,6252.56,6231,0,0.16
851,69015,35,4980.52,4991.77,0,0.52
852,69065,73,5255.36,5286.3,0,0.4
853,69073,77,5801.4,5797.79,0,0.96
854,69074,77,5744.24,5744.24,0,1
855,69075,77,5871.44,5780.25,0,0.32
856,69078,17,6449.84,6385.73,0,0.6
857,69079,17,6213.44,6217.5,0,0.96
858,69080,17,5986.08,5978.48,0,0.92
859,69081,17,5896.16,5896.16,0,1
860,69082,17,5873.36,5873.36,0,1
861,69083,17,5870.24,5870.24,0,1
862,69084,17,5860.72,5861.36,0,0.88
863,69085,17,5754.2,5756.64,0,0.44
864,69086,17,5671.48,5671.48,0,1
865,69087,17,5597.32,5597.32,0,1
866,69088,17,5576.72,5576.72,0,1
867,69089,17,5578,5578,0,1
868,69090,17,5572.88,5572.88,0,1
869,69091,17,5620.12,5588.18,0,0.44
870,69093,17,6120.68,6127.67,0,0.12
871,69094,17,6151.88,6139.4,0,0.8
872,69095,17,6064.4,6103.88,0,0.64
873,69335,73,5244.08,5361.5,0,0.08
874,69336,73,5399.64,5437.64,0,0.44
875,69337,73,5555.08,5495.64,0,0.44
876,69344,77,5913.56,5801.5,0,0.24
877,69345,77,5932.12,5783.75,0,0.16
878,69349,17,6490.6,6387.5,0,0.32
879,69350,17,6159.04,6204.64,0,0.44
880,69351,17,5959.68,5933.38,0,0.52
881,69352,17,5879.44,5879.44,0,1
882,69353,17,5825.64,5825.64,0,1
883,69354,17,5804.96,5804.96,0,1
884,69355,17,5783.72,5783.72,0,1
885,69356,17,5760.72,5760.72,0,1
886,69357,17,5730.8,5730.8,0,1
887,69358,17,5660.4,5660.4,0,1
888,69359,17,5610.04,5610.04,0,1
889,69360,17,5595.88,5595.88,0,1
890,69361,17,5598.24,5598.24,0,1
891,69362,17,5630.76,5615.4,0,0.6
892,69363,17,5832.48,5947.5,0,0.08
893,69364,17,6036.56,6040.27,0,0.88
894,69365,17,6056.88,6056.88,0,1
895,69366,17,5963.4,5986.6,0,0.8
896,69606,73,5418.6,5453,0,0.16
897,69607,73,5517.52,5518.88,0,0.96
898,69608,73,5653.44,5582,0,0.44
899,69614,4,6178.92,6142.7,0,0.4
900,69615,4,6100.88,6075,0,0.48
901,69616,4,6059.72,6019.4,0,0.2
902,69622,17,6022.76,5939,0,0.04
903,69623,17,5860.68,5860.68,0,1
904,69624,17,5814.16,5814.16,0,1
905,69625,17,5798.48,5798.48,0,1
906,69626,17,5784.96,5784.96,0,1
907,69627,17,5754.16,5754.16,0,1
908,69628,17,5739.84,5739.84,0,1
909,69629,17,5705.32,5705.32,0,1
910,69630,17,5649.44,5649.44,0,1
911,69631,17,5619.6,5619.6,0,1
912,69632,17,5623.8,5623.8,0,1
913,69633,17,5638.28,5638.28,0,1
914,69634,17,5751,5735.33,0,0.6
915,69635,17,5941.4,5941.4,0,1
916,69636,17,5962.84,5962.84,0,1
917,69637,17,5921,5921,0,1
918,69873,4,4615.96,4620.14,1,0.28
919,69878,73,5561.48,5569.33,0,0.48
920,69879,73,5742.64,5671.43,0,0.28
921,69885,4,6074.56,6040.67,0,0.24
922,69886,4,5898.52,5898.52,0,1
923,69887,4,5894.2,5891.08,0,0.96
924,69888,4,5923.64,5900.93,0,0.6
925,69889,4,5989.92,5978.39,0,0.72
926,69890,4,6141.08,6028.25,0,0.16
927,69892,17,6149.96,6037,0,0.2
928,69893,17,6000.64,5968.45,0,0.44
929,69894,17,5830.76,5830.76,0,1
930,69895,17,5799.64,5799.64,0,1
931,69896,17,5799.36,5799.36,0,1
932,69897,17,5790.68,5789.91,0,0.88
933,69898,17,5759.44,5755.8,0,0.8
934,69899,17,5725.44,5725.15,0,0.8
935,69900,17,5701.16,5701.16,0,1
936,69901,17,5660.28,5660.28,0,1
937,69902,17,5621.52,5621.52,0,1
938,69903,17,5655.08,5655.08,0,1
939,69904,17,5667.08,5667.08,0,1
940,69905,17,5683.2,5683.2,0,1
941,69906,17,5813.84,5813.84,0,1
942,69907,17,5920,5920,0,1
943,69908,17,5922.52,5927.38,0,0.84
944,70144,4,4625.48,4619.8,1,0.6
945,70145,4,4683.52,4640.8,1,0.2
946,70157,4,5748.24,5751.27,0,0.88
947,70158,4,5737.04,5737.04,0,1
948,70159,4,5800.72,5800.72,0,1
949,70160,4,5870.52,5870.52,0,1
950,70161,4,6078.96,5941,0,0.16
951,70162,17,6210.8,6082.67,0,0.12
952,70163,17,6034.44,6031.04,0,0.96
953,70164,17,5963.88,5963.88,0,1
954,70165,17,5876.88,5876.88,0,1
955,70166,17,5827.84,5827.84,0,1
956,70167,17,5850.52,5826.07,0,0.6
957,70168,17,5929.16,5804,0,0.04
958,70172,17,5680.16,5655.54,0,0.52
959,70173,17,5606.6,5606.6,0,1
960,70174,17,5663.92,5663.92,0,1
961,70175,17,5679.84,5679.84,0,1
962,70176,17,5677,5677,0,1
963,70177,17,5742.16,5742.16,0,1
964,70178,17,5880.56,5880.56,0,1
965,70179,17,5889.88,5913.21,0,0.56
966,70413,76,4675.28,4668.56,0,0.36
967,70415,4,4664.56,4648.29,1,0.28
968,70416,4,4660.08,4659.09,1,0.92
969,70417,4,4719.16,4690,1,0.28
970,70428,4,5564.72,5526.67,0,0.12
971,70429,4,5566.84,5571.71,0,0.96
972,70430,4,5648.88,5648.88,0,1
973,70431,4,5751.16,5751.16,0,1
974,70433,8,6162.72,6119.86,0,0.28
975,70433,17,6162.72,6131.67,0,0.12
976,70434,17,6151.04,6117.79,0,0.56
977,70435,17,6064.16,5952,0,0.08
978,70436,17,5933.6,5910.19,0,0.64
979,70437,17,5912.24,5880.58,0,0.48
980,70438,17,6017.44,6044,0,0.04
981,70439,17,6034.8,6011.22,0,0.36
982,70440,17,5983.96,5957.8,0,0.4
983,70441,17,5938.36,5912.64,0,0.44
984,70442,17,5889,5885,0,0.04
985,70443,17,5729.52,5687,0,0.2
986,70444,17,5654.72,5654.72,0,1
987,70445,17,5657.04,5657.04,0,1
988,70446,17,5667.16,5667.16,0,1
989,70447,17,5684.72,5685,0,0.96
990,70448,17,5747.64,5749.13,0,0.92
991,70449,17,5840.96,5829.74,0,0.76
992,70450,17,5868.84,5892.5,0,0.16
993,70683,76,4610.36,4639.8,0,0.2
994,70684,76,4691.76,4688.65,0,0.8
995,70687,4,4699.92,4678.27,1,0.6
996,70688,4,4696.6,4696.21,1,0.96
997,70689,4,4740.4,4717.29,1,0.56
998,70699,4,5428.8,5429.77,0,0.88
999,70700,4,5382.72,5385.05,0,0.88
1000,70701,4,5500.2,5500.2,0,1
1001,70702,4,5603.92,5587.67,0,0.72
1002,70703,8,5856.68,5897.94,0,0.68
1003,70704,8,5933.44,5953.8,0,0.6
1004,70707,17,6112.48,6151,0,0.2
1005,70708,17,6080.6,6096.14,0,0.28
1006,70709,17,6034.04,6025.95,0,0.76
1007,70710,17,6014.56,6014.56,0,1
1008,70711,17,5961.92,5961.92,0,1
1009,70712,17,5902.32,5902.32,0,1
1010,70713,17,5849.48,5848.83,0,0.92
1011,70714,17,5774.56,5785.81,0,0.64
1012,70715,17,5701.24,5701.24,0,1
1013,70716,17,5669.56,5669.56,0,1
1014,70717,17,5668.12,5668.12,0,1
1015,70718,17,5679,5672.11,0,0.72
1016,70719,17,5803.28,5797,0,0.08
1017,70947,36,5215.64,5244.62,0,0.52
1018,70948,36,5369.72,5384.17,0,0.72
1019,70949,36,5511.56,5499.5,0,0.32
